experiment_number,probability,result
1,0.01,34
2,0.01,30
3,0.01,36
4,0.01,30
5,0.01,32
6,0.01,30
7,0.01,42
8,0.01,30
9,0.01,30
10,0.01,38
11,0.01,34
12,0.01,30
13,0.01,30
14,0.01,32
15,0.01,34
16,0.01,32
17,0.01,34
18,0.01,34
19,0.01,34
20,0.01,34
21,0.01,40
22,0.01,32
23,0.01,32
24,0.01,30
25,0.01,30
26,0.01,34
27,0.01,34
28,0.01,38
29,0.01,32
30,0.01,32
31,0.01,30
32,0.01,30
33,0.01,30
34,0.01,32
35,0.01,32
36,0.01,32
37,0.01,32
38,0.01,30
39,0.01,30
40,0.01,34
41,0.01,30
42,0.01,30
43,0.01,30
44,0.01,30
45,0.01,34
46,0.01,32
47,0.01,36
48,0.01,40
49,0.01,36
50,0.01,36
1,0.02,36
2,0.02,32
3,0.02,34
4,0.02,38
5,0.02,42
6,0.02,30
7,0.02,32
8,0.02,40
9,0.02,34
10,0.02,38
11,0.02,32
12,0.02,30
13,0.02,32
14,0.02,32
15,0.02,47
16,0.02,34
17,0.02,34
18,0.02,32
19,0.02,36
20,0.02,32
21,0.02,34
22,0.02,34
23,0.02,32
24,0.02,36
25,0.02,38
26,0.02,47
27,0.02,32
28,0.02,34
29,0.02,32
30,0.02,46
31,0.02,34
32,0.02,34
33,0.02,32
34,0.02,32
35,0.02,54
36,0.02,34
37,0.02,36
38,0.02,34
39,0.02,32
40,0.02,62
41,0.02,34
42,0.02,32
43,0.02,30
44,0.02,30
45,0.02,36
46,0.02,30
47,0.02,38
48,0.02,41
49,0.02,41
50,0.02,30
1,0.03,40
2,0.03,69
3,0.03,44
4,0.03,38
5,0.03,32
6,0.03,30
7,0.03,38
8,0.03,38
9,0.03,36
10,0.03,34
11,0.03,30
12,0.03,36
13,0.03,34
14,0.03,34
15,0.03,40
16,0.03,32
17,0.03,44
18,0.03,48
19,0.03,59
20,0.03,34
21,0.03,38
22,0.03,40
23,0.03,36
24,0.03,38
25,0.03,47
26,0.03,40
27,0.03,34
28,0.03,30
29,0.03,38
30,0.03,54
31,0.03,38
32,0.03,42
33,0.03,34
34,0.03,40
35,0.03,38
36,0.03,43
37,0.03,44
38,0.03,32
39,0.03,32
40,0.03,36
41,0.03,52
42,0.03,60
43,0.03,34
44,0.03,32
45,0.03,38
46,0.03,42
47,0.03,38
48,0.03,38
49,0.03,32
50,0.03,41
1,0.04,40
2,0.04,34
3,0.04,42
4,0.04,41
5,0.04,34
6,0.04,54
7,0.04,90
8,0.04,40
9,0.04,36
10,0.04,38
11,0.04,51
12,0.04,42
13,0.04,34
14,0.04,57
15,0.04,36
16,0.04,88
17,0.04,42
18,0.04,38
19,0.04,40
20,0.04,105
21,0.04,34
22,0.04,38
23,0.04,34
24,0.04,47
25,0.04,36
26,0.04,68
27,0.04,62
28,0.04,86
29,0.04,53
30,0.04,38
31,0.04,118
32,0.04,47
33,0.04,42
34,0.04,72
35,0.04,60
36,0.04,62
37,0.04,38
38,0.04,48
39,0.04,34
40,0.04,46
41,0.04,71
42,0.04,44
43,0.04,68
44,0.04,38
45,0.04,71
46,0.04,42
47,0.04,45
48,0.04,36
49,0.04,58
50,0.04,36
1,0.05,42
2,0.05,56
3,0.05,38
4,0.05,51
