experiment_number,probability,result-reg,result-red,difference
1,0.01,34,34,0
2,0.01,30,30,0
3,0.01,37,36,1
4,0.01,30,30,0
5,0.01,32,32,0
6,0.01,30,30,0
7,0.01,44,42,2
8,0.01,30,30,0
9,0.01,30,30,0
10,0.01,39,38,1
11,0.01,34,34,0
12,0.01,30,30,0
13,0.01,30,30,0
14,0.01,32,32,0
15,0.01,34,34,0
16,0.01,32,32,0
17,0.01,34,34,0
18,0.01,34,34,0
19,0.01,34,34,0
20,0.01,34,34,0
21,0.01,41,40,1
22,0.01,32,32,0
23,0.01,32,32,0
24,0.01,30,30,0
25,0.01,30,30,0
26,0.01,34,34,0
27,0.01,34,34,0
28,0.01,39,38,1
29,0.01,32,32,0
30,0.01,32,32,0
31,0.01,30,30,0
32,0.01,30,30,0
33,0.01,30,30,0
34,0.01,32,32,0
35,0.01,32,32,0
36,0.01,32,32,0
37,0.01,32,32,0
38,0.01,30,30,0
39,0.01,30,30,0
40,0.01,34,34,0
41,0.01,30,30,0
42,0.01,30,30,0
43,0.01,30,30,0
44,0.01,30,30,0
45,0.01,34,34,0
46,0.01,32,32,0
47,0.01,37,36,1
48,0.01,41,40,1
49,0.01,37,36,1
50,0.01,36,36,0
1,0.02,36,36,0
2,0.02,32,32,0
3,0.02,34,34,0
4,0.02,38,38,0
5,0.02,43,42,1
6,0.02,30,30,0
7,0.02,32,32,0
8,0.02,41,40,1
9,0.02,34,34,0
10,0.02,39,38,1
11,0.02,32,32,0
12,0.02,30,30,0
13,0.02,32,32,0
14,0.02,32,32,0
15,0.02,47,47,0
16,0.02,34,34,0
17,0.02,34,34,0
18,0.02,32,32,0
19,0.02,36,36,0
20,0.02,32,32,0
21,0.02,34,34,0
22,0.02,34,34,0
23,0.02,32,32,0
24,0.02,37,36,1
25,0.02,38,38,0
26,0.02,47,47,0
27,0.02,32,32,0
28,0.02,34,34,0
29,0.02,32,32,0
30,0.02,45,46,-1
31,0.02,34,34,0
32,0.02,34,34,0
33,0.02,32,32,0
34,0.02,32,32,0
35,0.02,64,54,10
36,0.02,34,34,0
37,0.02,37,36,1
38,0.02,34,34,0
39,0.02,32,32,0
40,0.02,63,62,1
41,0.02,34,34,0
42,0.02,32,32,0
43,0.02,30,30,0
44,0.02,30,30,0
45,0.02,37,36,1
46,0.02,30,30,0
47,0.02,39,38,1
48,0.02,51,41,10
49,0.02,51,41,10
50,0.02,30,30,0
1,0.03,41,40,1
2,0.03,72,69,3
3,0.03,46,44,2
4,0.03,38,38,0
5,0.03,32,32,0
6,0.03,30,30,0
7,0.03,38,38,0
8,0.03,38,38,0
9,0.03,36,36,0
10,0.03,34,34,0
11,0.03,30,30,0
12,0.03,37,36,1
13,0.03,34,34,0
14,0.03,34,34,0
15,0.03,41,40,1
16,0.03,32,32,0
17,0.03,45,44,1
18,0.03,47,48,-1
19,0.03,60,59,1
20,0.03,34,34,0
21,0.03,39,38,1
22,0.03,41,40,1
23,0.03,36,36,0
24,0.03,39,38,1
25,0.03,47,47,0
26,0.03,41,40,1
27,0.03,34,34,0
28,0.03,30,30,0
29,0.03,39,38,1
30,0.03,54,54,0
31,0.03,39,38,1
32,0.03,43,42,1
33,0.03,34,34,0
34,0.03,41,40,1
35,0.03,39,38,1
36,0.03,53,43,10
37,0.03,46,44,2
38,0.03,32,32,0
39,0.03,32,32,0
40,0.03,37,36,1
41,0.03,52,52,0
42,0.03,60,60,0
43,0.03,34,34,0
44,0.03,32,32,0
45,0.03,39,38,1
46,0.03,43,42,1
47,0.03,39,38,1
48,0.03,39,38,1
49,0.03,32,32,0
50,0.03,51,41,10
1,0.04,41,40,1
2,0.04,34,34,0
3,0.04,43,42,1
4,0.04,51,41,10
5,0.04,34,34,0
6,0.04,54,54,0
7,0.04,134,90,44
8,0.04,41,40,1
9,0.04,36,36,0
10,0.04,39,38,1
11,0.04,51,51,0
12,0.04,43,42,1
13,0.04,34,34,0
14,0.04,56,57,-1
15,0.04,36,36,0
16,0.04,98,88,10
17,0.04,44,42,2
18,0.04,39,38,1
19,0.04,41,40,1
20,0.04,119,105,14
21,0.04,34,34,0
22,0.04,39,38,1
23,0.04,34,34,0
24,0.04,47,47,0
25,0.04,36,36,0
26,0.04,69,68,1
27,0.04,65,62,3
28,0.04,100,86,14
29,0.04,54,53,1
30,0.04,39,38,1
31,0.04,372,118,254
32,0.04,47,47,0
33,0.04,43,42,1
34,0.04,90,72,18
35,0.04,60,60,0
