experiment_number,probability,result-reg,result-red
1,0.01,34,34
2,0.01,30,30
3,0.01,37,36
4,0.01,30,30
5,0.01,32,32
6,0.01,30,30
7,0.01,44,42
8,0.01,30,30
9,0.01,30,30
10,0.01,39,38
11,0.01,34,34
12,0.01,30,30
13,0.01,30,30
14,0.01,32,32
15,0.01,34,34
16,0.01,32,32
17,0.01,34,34
18,0.01,34,34
19,0.01,34,34
20,0.01,34,34
21,0.01,41,40
22,0.01,32,32
23,0.01,32,32
24,0.01,30,30
25,0.01,30,30
26,0.01,34,34
27,0.01,34,34
28,0.01,39,38
29,0.01,32,32
30,0.01,32,32
31,0.01,30,30
32,0.01,30,30
33,0.01,30,30
34,0.01,32,32
35,0.01,32,32
36,0.01,32,32
37,0.01,32,32
38,0.01,30,30
39,0.01,30,30
40,0.01,34,34
41,0.01,30,30
42,0.01,30,30
43,0.01,30,30
44,0.01,30,30
45,0.01,34,34
46,0.01,32,32
47,0.01,37,36
48,0.01,41,40
49,0.01,37,36
50,0.01,36,36
1,0.02,36,36
2,0.02,32,32
3,0.02,34,34
4,0.02,38,38
5,0.02,43,42
6,0.02,30,30
7,0.02,32,32
8,0.02,41,40
9,0.02,34,34
10,0.02,39,38
11,0.02,32,32
12,0.02,30,30
13,0.02,32,32
14,0.02,32,32
15,0.02,47,47
16,0.02,34,34
17,0.02,34,34
18,0.02,32,32
19,0.02,36,36
20,0.02,32,32
21,0.02,34,34
22,0.02,34,34
23,0.02,32,32
24,0.02,37,36
25,0.02,38,38
26,0.02,47,47
27,0.02,32,32
28,0.02,34,34
29,0.02,32,32
30,0.02,45,46
31,0.02,34,34
32,0.02,34,34
33,0.02,32,32
34,0.02,32,32
35,0.02,64,54
36,0.02,34,34
37,0.02,37,36
38,0.02,34,34
39,0.02,32,32
40,0.02,63,62
41,0.02,34,34
42,0.02,32,32
43,0.02,30,30
44,0.02,30,30
45,0.02,37,36
46,0.02,30,30
47,0.02,39,38
48,0.02,51,41
49,0.02,51,41
50,0.02,30,30
1,0.03,41,40
2,0.03,72,69
3,0.03,46,44
4,0.03,38,38
5,0.03,32,32
6,0.03,30,30
7,0.03,38,38
8,0.03,38,38
9,0.03,36,36
10,0.03,34,34
11,0.03,30,30
12,0.03,37,36
13,0.03,34,34
14,0.03,34,34
15,0.03,41,40
16,0.03,32,32
17,0.03,45,44
18,0.03,47,48
19,0.03,60,59
20,0.03,34,34
21,0.03,39,38
22,0.03,41,40
23,0.03,36,36
24,0.03,39,38
25,0.03,47,47
26,0.03,41,40
27,0.03,34,34
28,0.03,30,30
29,0.03,39,38
30,0.03,54,54
31,0.03,39,38
32,0.03,43,42
33,0.03,34,34
34,0.03,41,40
35,0.03,39,38
36,0.03,53,43
37,0.03,46,44
38,0.03,32,32
39,0.03,32,32
40,0.03,37,36
41,0.03,52,52
42,0.03,60,60
43,0.03,34,34
44,0.03,32,32
45,0.03,39,38
46,0.03,43,42
47,0.03,39,38
48,0.03,39,38
49,0.03,32,32
50,0.03,51,41
1,0.04,41,40
2,0.04,34,34
3,0.04,43,42
4,0.04,51,41
5,0.04,34,34
6,0.04,54,54
7,0.04,134,90
8,0.04,41,40
9,0.04,36,36
10,0.04,39,38
11,0.04,51,51
12,0.04,43,42
13,0.04,34,34
14,0.04,56,57
15,0.04,36,36
16,0.04,98,88
17,0.04,44,42
18,0.04,39,38
19,0.04,41,40
20,0.04,119,105
21,0.04,34,34
22,0.04,39,38
23,0.04,34,34
24,0.04,47,47
25,0.04,36,36
26,0.04,69,68
27,0.04,65,62
28,0.04,100,86
29,0.04,54,53
30,0.04,39,38
31,0.04,372,118
32,0.04,47,47
33,0.04,43,42
34,0.04,90,72
35,0.04,60,60
36,0.04,71,62
37,0.04,39,38
38,0.04,47,48
39,0.04,34,34
40,0.04,48,46
41,0.04,84,71
42,0.04,46,44
43,0.04,70,68
44,0.04,39,38
45,0.04,88,71
46,0.04,44,42
47,0.04,56,45
48,0.04,36,36
49,0.04,66,58
50,0.04,37,36
1,0.05,43,42
2,0.05,66,56
3,0.05,39,38
4,0.05,51,51
5,0.05,68,57
6,0.05,37,36
7,0.05,178,104
8,0.05,65,64
9,0.05,49,49
10,0.05,34,34
11,0.05,54,53
12,0.05,86,71
13,0.05,47,48
14,0.05,53,43
15,0.05,41,40
16,0.05,36,36
17,0.05,39,38
18,0.05,79,44
19,0.05,440,205
20,0.05,34,34
21,0.05,107,90
22,0.05,41,40
23,0.05,39,38
24,0.05,66,57
25,0.05,47,48
26,0.05,34,34
27,0.05,72,70
28,0.05,218,134
29,0.05,1113,603
30,0.05,53,50
31,0.05,41,40
32,0.05,41,40
33,0.05,147,95
34,0.05,46,44
35,0.05,39,38
36,0.05,996,186
37,0.05,38,38
38,0.05,73,64
39,0.05,48,46
40,0.05,66,55
41,0.05,34,34
42,0.05,51,48
43,0.05,48,46
44,0.05,60,60
45,0.05,39,38
46,0.05,73,62
47,0.05,83,70
48,0.05,41,40
49,0.05,41,40
50,0.05,46,44
1,0.06,412,192
2,0.06,39,38
3,0.06,68,57
4,0.06,50,48
5,0.06,34,34
6,0.06,58,57
7,0.06,560,147
8,0.06,41,40
9,0.06,65,64
10,0.06,39,38
11,0.06,95,77
12,0.06,147,102
13,0.06,43,42
14,0.06,56,54
15,0.06,52,52
16,0.06,149,107
17,0.06,41,40
18,0.06,156,92
19,0.06,47,48
20,0.06,131,106
21,0.06,38,38
22,0.06,47,48
23,0.06,38,38
24,0.06,101,66
25,0.06,679,147
26,0.06,36,36
27,0.06,178,103
28,0.06,51,52
29,0.06,39,38
30,0.06,90,72
31,0.06,48,46
32,0.06,104,61
33,0.06,48,46
34,0.06,260,121
35,0.06,66,56
36,0.06,144,95
37,0.06,75,65
38,0.06,39,38
39,0.06,68,60
40,0.06,51,41
41,0.06,96,78
42,0.06,52,52
43,0.06,110,88
44,0.06,226,100
45,0.06,51,41
46,0.06,86,71
47,0.06,58,47
48,0.06,118,84
49,0.06,64,53
50,0.06,65,64
1,0.07,3648,294
2,0.07,364,188
3,0.07,43,42
4,0.07,43,42
5,0.07,53,43
6,0.07,46,44
7,0.07,104,98
8,0.07,900,485
9,0.07,64,55
10,0.07,65,53
11,0.07,49,50
12,0.07,79,69
13,0.07,78,65
14,0.07,6885,4343
15,0.07,47,47
16,0.07,220,121
17,0.07,84,69
18,0.07,112,97
19,0.07,80,67
20,0.07,591,318
21,0.07,39,38
22,0.07,103,69
23,0.07,208,125
24,0.07,103,89
25,0.07,328,169
26,0.07,98,87
27,0.07,73,63
28,0.07,39,38
29,0.07,72,62
30,0.07,47,47
31,0.07,207,107
32,0.07,110,72
33,0.07,897,566
34,0.07,126,78
35,0.07,43,42
36,0.07,41,40
37,0.07,1995,940
38,0.07,373,168
39,0.07,718,195
40,0.07,89,77
41,0.07,51,52
42,0.07,53,50
43,0.07,52,51
44,0.07,64,65
45,0.07,87,80
46,0.07,258,129
47,0.07,152,100
48,0.07,121,109
49,0.07,256,129
50,0.07,74,73
1,0.08,372,121
2,0.08,94,88
3,0.08,92,72
4,0.08,74,72
5,0.08,131,109
6,0.08,119,106
7,0.08,204,124
8,0.08,71,71
9,0.08,66,58
10,0.08,182,106
11,0.08,51,52
12,0.08,784,527
13,0.08,543,266
14,0.08,402,271
15,0.08,77,75
16,0.08,49,49
17,0.08,110,89
18,0.08,112,92
19,0.08,313,153
20,0.08,62,63
21,0.08,65,64
22,0.08,58,57
23,0.08,48,46
24,0.08,145,102
25,0.08,193,144
26,0.08,12068,2700
27,0.08,338,196
28,0.08,86,78
29,0.08,92,72
30,0.08,807,358
31,0.08,118,88
32,0.08,120,85
33,0.08,75,66
34,0.08,87,82
35,0.08,70,60
36,0.08,2650,338
37,0.08,45,44
38,0.08,1937,314
39,0.08,778,417
40,0.08,85,76
41,0.08,93,73
42,0.08,97,85
43,0.08,49,50
44,0.08,54,54
45,0.08,49,49
46,0.08,1510,475
47,0.08,95,77
48,0.08,1103,223
49,0.08,2035,966
50,0.08,67,64
1,0.09,81,72
2,0.09,310,134
3,0.09,82,75
4,0.09,451,152
5,0.09,576,202
6,0.09,247,247
7,0.09,68,68
8,0.09,10005,5210
9,0.09,164,148
10,0.09,167,124
11,0.09,179,127
12,0.09,106,71
13,0.09,4189,1286
14,0.09,66,57
15,0.09,241,144
16,0.09,64,55
17,0.09,54,53
18,0.09,54,54
19,0.09,677,356
20,0.09,206,114
21,0.09,53,54
22,0.09,71,61
23,0.09,164,110
24,0.09,144,103
25,0.09,301,146
26,0.09,2381,327
27,0.09,500,253
28,0.09,2915,394
29,0.09,1460,400
30,0.09,125,87
31,0.09,47,48
