experiment_number,probability,result
1,0.01,22
2,0.01,22
3,0.01,20
4,0.01,22
5,0.01,20
6,0.01,22
7,0.01,22
8,0.01,20
9,0.01,20
10,0.01,20
11,0.01,22
12,0.01,20
13,0.01,22
14,0.01,20
15,0.01,22
16,0.01,20
17,0.01,20
18,0.01,20
19,0.01,20
20,0.01,20
21,0.01,22
22,0.01,20
23,0.01,20
24,0.01,22
25,0.01,24
1,0.02,20
2,0.02,22
3,0.02,22
4,0.02,24
5,0.02,22
6,0.02,20
7,0.02,22
8,0.02,22
9,0.02,22
10,0.02,20
11,0.02,22
12,0.02,20
13,0.02,20
14,0.02,22
15,0.02,20
16,0.02,20
17,0.02,22
18,0.02,20
19,0.02,22
20,0.02,24
21,0.02,24
22,0.02,22
23,0.02,26
24,0.02,20
25,0.02,22
1,0.03,20
2,0.03,22
3,0.03,26
4,0.03,20
5,0.03,22
6,0.03,32
7,0.03,22
8,0.03,20
9,0.03,26
10,0.03,28
11,0.03,26
12,0.03,24
13,0.03,26
14,0.03,20
15,0.03,22
16,0.03,28
17,0.03,20
18,0.03,24
19,0.03,24
20,0.03,26
21,0.03,22
22,0.03,22
23,0.03,20
24,0.03,22
25,0.03,28
1,0.04,22
2,0.04,22
3,0.04,24
4,0.04,26
5,0.04,24
6,0.04,24
7,0.04,28
8,0.04,24
9,0.04,22
10,0.04,22
11,0.04,28
12,0.04,22
13,0.04,24
14,0.04,20
15,0.04,22
16,0.04,24
17,0.04,26
18,0.04,22
19,0.04,32
20,0.04,22
21,0.04,26
22,0.04,32
23,0.04,22
24,0.04,22
25,0.04,26
1,0.05,26
2,0.05,28
3,0.05,24
4,0.05,26
5,0.05,22
6,0.05,24
7,0.05,28
8,0.05,24
9,0.05,28
10,0.05,30
11,0.05,24
12,0.05,20
13,0.05,32
14,0.05,24
15,0.05,34
16,0.05,24
17,0.05,38
18,0.05,20
19,0.05,56
20,0.05,22
21,0.05,26
22,0.05,34
23,0.05,26
24,0.05,28
25,0.05,24
1,0.06,34
2,0.06,34
3,0.06,22
4,0.06,28
5,0.06,26
6,0.06,22
